time,displacement,force,sample,type,height,area
0,0.01618,0.15197,S1,C,0.525333333,0.868
0.1,0.01969,0.2122,S1,C,0.525333333,0.868
0.2,0.02625,0.36886,S1,C,0.525333333,0.868
0.3,0.03166,0.52161,S1,C,0.525333333,0.868
0.4,0.03652,0.6827,S1,C,0.525333333,0.868
0.5,0.04118,0.8829,S1,C,0.525333333,0.868
0.534,0.04339,1.00042,S1,C,0.525333333,0.868
0.535,0.04344,1.00283,S1,C,0.525333333,0.868
0.536,0.04349,1.00518,S1,C,0.525333333,0.868
0.636,0.04411,0.96332,S1,C,0.525333333,0.868
0.736,0.0411,0.70415,S1,C,0.525333333,0.868
0.836,0.03473,0.35114,S1,C,0.525333333,0.868
0.936,0.02934,0.17865,S1,C,0.525333333,0.868
1.036,0.02426,0.08929,S1,C,0.525333333,0.868
1.136,0.01897,0.03853,S1,C,0.525333333,0.868
1.236,0.01384,0.02118,S1,C,0.525333333,0.868
1.336,0.00914,0.01301,S1,C,0.525333333,0.868
1.436,0.00414,0.0087,S1,C,0.525333333,0.868
1.536,-0.00036,0.00681,S1,C,0.525333333,0.868
1.636,-0.00563,0.00394,S1,C,0.525333333,0.868
1.736,-0.01052,0.00135,S1,C,0.525333333,0.868
1.836,-0.0159,-0.00267,S1,C,0.525333333,0.868
1.936,-0.02099,-0.00529,S1,C,0.525333333,0.868
2.036,-0.02587,-0.01003,S1,C,0.525333333,0.868
2.136,-0.031,-0.01513,S1,C,0.525333333,0.868
2.236,-0.03557,-0.02166,S1,C,0.525333333,0.868
2.336,-0.04076,-0.03222,S1,C,0.525333333,0.868
2.436,-0.04545,-0.04664,S1,C,0.525333333,0.868
2.536,-0.05088,-0.07221,S1,C,0.525333333,0.868
2.636,-0.05584,-0.09871,S1,C,0.525333333,0.868
2.736,-0.061,-0.13656,S1,C,0.525333333,0.868
2.836,-0.06614,-0.17943,S1,C,0.525333333,0.868
2.936,-0.07068,-0.22746,S1,C,0.525333333,0.868
3.036,-0.0759,-0.29504,S1,C,0.525333333,0.868
3.136,-0.08043,-0.36315,S1,C,0.525333333,0.868
3.236,-0.08567,-0.47037,S1,C,0.525333333,0.868
3.336,-0.09054,-0.58664,S1,C,0.525333333,0.868
3.436,-0.09599,-0.76756,S1,C,0.525333333,0.868
3.536,-0.10105,-0.94463,S1,C,0.525333333,0.868
3.586,-0.10287,-1.00029,S1,C,0.525333333,0.868
3.587,-0.10291,-1.00213,S1,C,0.525333333,0.868
3.588,-0.10296,-1.004,S1,C,0.525333333,0.868
3.688,-0.10466,-1.0257,S1,C,0.525333333,0.868
3.788,-0.10106,-0.7869,S1,C,0.525333333,0.868
3.888,-0.09483,-0.49584,S1,C,0.525333333,0.868
3.988,-0.08952,-0.33609,S1,C,0.525333333,0.868
4.088,-0.08488,-0.23254,S1,C,0.525333333,0.868
4.188,-0.07972,-0.14941,S1,C,0.525333333,0.868
4.288,-0.07516,-0.09465,S1,C,0.525333333,0.868
4.388,-0.06979,-0.04799,S1,C,0.525333333,0.868
4.488,-0.06503,-0.02069,S1,C,0.525333333,0.868
4.588,-0.05955,0.00371,S1,C,0.525333333,0.868
4.688,-0.05464,0.01463,S1,C,0.525333333,0.868
4.788,-0.04968,0.02243,S1,C,0.525333333,0.868
4.888,-0.0446,0.02742,S1,C,0.525333333,0.868
4.988,-0.04011,0.02897,S1,C,0.525333333,0.868
5.088,-0.03483,0.03092,S1,C,0.525333333,0.868
5.188,-0.0301,0.03251,S1,C,0.525333333,0.868
5.288,-0.02465,0.03611,S1,C,0.525333333,0.868
5.388,-0.01975,0.03749,S1,C,0.525333333,0.868
5.488,-0.0145,0.04326,S1,C,0.525333333,0.868
5.588,-0.00959,0.04645,S1,C,0.525333333,0.868
5.688,-0.00494,0.05127,S1,C,0.525333333,0.868
5.788,0.00021,0.05898,S1,C,0.525333333,0.868
5.888,0.0047,0.06806,S1,C,0.525333333,0.868
5.988,0.01027,0.09593,S1,C,0.525333333,0.868
6.088,0.01519,0.14067,S1,C,0.525333333,0.868
6.188,0.02061,0.22368,S1,C,0.525333333,0.868
6.288,0.02548,0.30939,S1,C,0.525333333,0.868
6.388,0.03034,0.42613,S1,C,0.525333333,0.868
6.488,0.03526,0.56792,S1,C,0.525333333,0.868
6.588,0.03972,0.73806,S1,C,0.525333333,0.868
6.681,0.04489,1.00073,S1,C,0.525333333,0.868
6.682,0.04493,1.00281,S1,C,0.525333333,0.868
6.683,0.04497,1.00493,S1,C,0.525333333,0.868
6.783,0.04616,1.02207,S1,C,0.525333333,0.868
6.883,0.04288,0.72669,S1,C,0.525333333,0.868
6.983,0.03631,0.34823,S1,C,0.525333333,0.868
7.083,0.03122,0.18169,S1,C,0.525333333,0.868
7.183,0.02589,0.0846,S1,C,0.525333333,0.868
7.283,0.02141,0.04489,S1,C,0.525333333,0.868
7.383,0.01618,0.02382,S1,C,0.525333333,0.868
7.483,0.01165,0.01776,S1,C,0.525333333,0.868
7.583,0.00639,0.01277,S1,C,0.525333333,0.868
7.683,0.00121,0.00977,S1,C,0.525333333,0.868
7.783,-0.00384,0.00665,S1,C,0.525333333,0.868
7.883,-0.00905,0.00382,S1,C,0.525333333,0.868
7.983,-0.01375,0.00028,S1,C,0.525333333,0.868
8.083,-0.01879,-0.0015,S1,C,0.525333333,0.868
8.183,-0.02327,-0.00573,S1,C,0.525333333,0.868
8.283,-0.02863,-0.00945,S1,C,0.525333333,0.868
8.383,-0.0335,-0.01608,S1,C,0.525333333,0.868
8.483,-0.03888,-0.02683,S1,C,0.525333333,0.868
8.583,-0.04405,-0.04204,S1,C,0.525333333,0.868
8.683,-0.04892,-0.06508,S1,C,0.525333333,0.868
8.783,-0.05401,-0.09232,S1,C,0.525333333,0.868
8.883,-0.05847,-0.11729,S1,C,0.525333333,0.868
8.983,-0.06367,-0.15628,S1,C,0.525333333,0.868
9.083,-0.06837,-0.19688,S1,C,0.525333333,0.868
9.183,-0.07385,-0.26525,S1,C,0.525333333,0.868
9.283,-0.07883,-0.33831,S1,C,0.525333333,0.868
9.383,-0.08392,-0.43949,S1,C,0.525333333,0.868
9.483,-0.08906,-0.55979,S1,C,0.525333333,0.868
9.583,-0.09348,-0.68176,S1,C,0.525333333,0.868
9.683,-0.09883,-0.85665,S1,C,0.525333333,0.868
9.778,-0.10304,-1.00061,S1,C,0.525333333,0.868
9.779,-0.10309,-1.0026,S1,C,0.525333333,0.868
9.78,-0.10314,-1.00463,S1,C,0.525333333,0.868
9.88,-0.10491,-1.03187,S1,C,0.525333333,0.868
9.98,-0.10128,-0.78988,S1,C,0.525333333,0.868
10.08,-0.09513,-0.5024,S1,C,0.525333333,0.868
10.18,-0.08974,-0.34007,S1,C,0.525333333,0.868
10.28,-0.0852,-0.23837,S1,C,0.525333333,0.868
10.38,-0.07998,-0.15337,S1,C,0.525333333,0.868
10.48,-0.07542,-0.09868,S1,C,0.525333333,0.868
10.58,-0.07,-0.05078,S1,C,0.525333333,0.868
10.68,-0.06519,-0.02202,S1,C,0.525333333,0.868
10.78,-0.05975,0.00289,S1,C,0.525333333,0.868
10.88,-0.05486,0.0136,S1,C,0.525333333,0.868
10.98,-0.05001,0.0215,S1,C,0.525333333,0.868
11.08,-0.0449,0.02495,S1,C,0.525333333,0.868
11.18,-0.04042,0.02712,S1,C,0.525333333,0.868
11.28,-0.03506,0.03011,S1,C,0.525333333,0.868
11.38,-0.03028,0.03236,S1,C,0.525333333,0.868
11.48,-0.02484,0.03486,S1,C,0.525333333,0.868
11.58,-0.01993,0.03665,S1,C,0.525333333,0.868
11.68,-0.01479,0.04099,S1,C,0.525333333,0.868
11.78,-0.00988,0.04338,S1,C,0.525333333,0.868
11.88,-0.00528,0.04811,S1,C,0.525333333,0.868
11.98,-3.00E-05,0.055,S1,C,0.525333333,0.868
12.08,0.00446,0.06257,S1,C,0.525333333,0.868
12.18,0.01009,0.08518,S1,C,0.525333333,0.868
12.28,0.01503,0.12466,S1,C,0.525333333,0.868
12.38,0.02038,0.20129,S1,C,0.525333333,0.868
12.48,0.02525,0.28126,S1,C,0.525333333,0.868
12.58,0.03,0.38378,S1,C,0.525333333,0.868
12.68,0.03498,0.51835,S1,C,0.525333333,0.868
12.78,0.03946,0.67899,S1,C,0.525333333,0.868
